id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
117,1338,"2011-07-28 14:07:00",27,"2011-07-28 14:29:00",33,B00041,Casual,"","",""
118,1267,"2011-07-28 14:08:00",27,"2011-07-28 14:29:00",33,B00310,Casual,"","",""
119,1685,"2011-07-28 14:34:00",8,"2011-07-28 15:02:00",46,B00429,Registered,"'02134",1986.0,Male
120,5915,"2011-07-28 14:38:00",22,"2011-07-28 16:17:00",22,B00493,Casual,"","",""
121,1623,"2011-07-28 14:42:00",22,"2011-07-28 15:09:00",22,B00464,Casual,"","",""
122,1559,"2011-07-28 14:42:00",22,"2011-07-28 15:08:00",22,B00350,Casual,"","",""
123,199,"2011-07-28 15:02:00",33,"2011-07-28 15:05:00",10,B00041,Casual,"","",""
124,1236,"2011-07-28 15:02:00",31,"2011-07-28 15:22:00",42,B00298,Casual,"","",""
126,172,"2011-07-28 15:02:00",33,"2011-07-28 15:05:00",10,B00310,Casual,"","",""
127,1193,"2011-07-28 15:02:00",31,"2011-07-28 15:22:00",42,B00353,Casual,"","",""
129,943,"2011-07-28 15:02:00",22,"2011-07-28 15:18:00",40,B00552,Registered,"'02139",1986.0,Male
130,888,"2011-07-28 15:06:00",45,"2011-07-28 15:21:00",13,B00058,Casual,"","",""
131,1094,"2011-07-28 15:06:00",49,"2011-07-28 15:24:00",24,B00082,Registered,"'02116",1982.0,Female
132,1100,"2011-07-28 15:12:00",5,"2011-07-28 15:31:00",36,B00042,Casual,"","",""
133,1933,"2011-07-28 15:20:00",23,"2011-07-28 15:52:00",32,B00456,Casual,"","",""
134,1100,"2011-07-28 15:21:00",10,"2011-07-28 15:40:00",27,B00041,Casual,"","",""
135,1071,"2011-07-28 15:22:00",10,"2011-07-28 15:40:00",27,B00093,Casual,"","",""
136,1224,"2011-07-28 15:25:00",36,"2011-07-28 15:46:00",38,B00543,Registered,"'01742",1962.0,Male
137,3373,"2011-07-28 15:26:00",23,"2011-07-28 16:22:00",23,B00556,Casual,"","",""
138,7669,"2011-07-28 15:32:00",42,"2011-07-28 17:40:00",22,B00298,Casual,"","",""
139,319,"2011-07-28 15:32:00",36,"2011-07-28 15:37:00",42,B00042,Casual,"","",""
140,2973,"2011-07-28 15:41:00",41,"2011-07-28 16:31:00",41,B00585,Casual,"","",""
